Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57361474,Local Woman Missing,Mary Kubica,"Kubica, Mary",,"=""077831166X""","=""9780778311669""",5,4.12,Park Row,Paperback,356,2021,2021,2024/02/18,2024/02/13,"otk-on-the-kindle, loved","otk-on-the-kindle (#14), loved (#6)",read,On the edge of my seat the entire time I wish I could read it all over again ,,,1,0
62976325,Delicate Condition,Danielle Valentine,"Valentine, Danielle",,"=""1728276888""","=""9781728276885""",4,3.64,Sourcebooks Landmark,Hardcover,432,2023,2023,2024/02/14,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#10),read,,,,1,0
7905092,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""0374158460""","=""9780374158460""",0,3.79,"Farrar, Straus and Giroux",Hardcover,562,2010,2010,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#26), otk-on-the-kindle (#18)",to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.38,Atria Books,Hardcover,337,2014,2012,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#25), otk-on-the-kindle (#17)",to-read,,,,0,0
16241160,Capital,John Lanchester,"Lanchester, John",,"=""0393345092""","=""9780393345094""",0,3.71,W. W. Norton & Company,Paperback,528,2013,2012,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#24), otk-on-the-kindle (#15)",to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273,2019,2018,,2023/12/02,"to-read, otk-on-the-kindle","to-read (#6), otk-on-the-kindle (#13)",to-read,,,,0,0
56238004,The Good Lie,A.R. Torre,"Torre, A.R.",,"=""1542020174""","=""9781542020176""",3,4.10,Thomas & Mercer,Kindle Edition,257,2021,2021,2024/02/13,2024/01/27,otk-on-the-kindle,otk-on-the-kindle (#2),read,,,,1,0
65212029,Nestlings,Nat Cassidy,"Cassidy, Nat",,"=""1250265258""","=""9781250265258""",4,3.79,Tor Nightfire,Paperback,293,2023,2023,2024/02/08,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#8),read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",3,4.17,Celadon Books,Hardcover,336,2019,2019,2024/01/31,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#11),read,Didn’t like the twist at all,true,,1,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",4,3.88,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,2024/01/14,2024/01/11,,,read,Gonna be cliche but it was Insane to read this post Covid but still a great book but like I mean how do u think ling ma felt when we were actually wearing n95 masks,,,1,0
28695606,FantasticLand,Mike Bockoven,"Bockoven, Mike",,"=""1510709444""","=""9781510709447""",0,3.84,Skyhorse Publishing,Hardcover,272,2016,2016,,2024/01/28,"to-read, otk-on-the-kindle","to-read (#22), otk-on-the-kindle (#9)",to-read,,,,0,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",0,3.94,Vintage Crime,Paperback,231,1988,1939,,2024/01/17,"otk-on-the-kindle, did-not-finish, to-read","otk-on-the-kindle (#6), did-not-finish (#2), to-read (#21)",to-read,,,,1,0
123167523,The Snow Ghost and Other Tales: Classic Japanese Ghost Stories,Lafcadio Hearn,"Hearn, Lafcadio","Richard Gordon Smith, Yei Theodora Ozaki","=""1529912288""","=""9781529912289""",0,3.52,Vintage Digital,Kindle Edition,197,2023,2023,,2024/01/27,to-read,to-read (#20),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.96,Penguin Press,Hardcover,406,2023,2023,,2024/01/27,"to-read, otk-on-the-kindle","to-read (#19), otk-on-the-kindle (#7)",to-read,,,,0,0
